序号,原图标题,猫娘单角色数,人类单角色数,单角色合计,猫娘组合立绘,人类组合立绘,单角色目录,原始绿幕目录,校验,第一轮背景,第二轮背景
11,图07_罗马家内：解放文书与仍未消失的身份等级,2,1,3,11_图07_罗马家内：解放文书与仍未消失的身份等级/组合立绘/猫娘组.png,11_图07_罗马家内：解放文书与仍未消失的身份等级/组合立绘/人类组.png,11_图07_罗马家内：解放文书与仍未消失的身份等级/单角色立绘,11_图07_罗马家内：解放文书与仍未消失的身份等级/原始绿幕,PNG 可解码；透明立绘含有效 Alpha,11_图07_罗马家内：解放文书与仍未消失的身份等级/背景图/第一轮_背景.png,11_图07_罗马家内：解放文书与仍未消失的身份等级/背景图/第二轮_背景.png
12,图08_汉代边塞：瞭望、军报与烽燧警讯,3,1,4,12_图08_汉代边塞：瞭望、军报与烽燧警讯/组合立绘/猫娘组.png,12_图08_汉代边塞：瞭望、军报与烽燧警讯/组合立绘/人类组.png,12_图08_汉代边塞：瞭望、军报与烽燧警讯/单角色立绘,12_图08_汉代边塞：瞭望、军报与烽燧警讯/原始绿幕,PNG 可解码；透明立绘含有效 Alpha,12_图08_汉代边塞：瞭望、军报与烽燧警讯/背景图/第一轮_背景.png,12_图08_汉代边塞：瞭望、军报与烽燧警讯/背景图/第二轮_背景.png
13,图09_中世纪修院：冬季庇护、誓约与服务债务,2,2,4,13_图09_中世纪修院：冬季庇护、誓约与服务债务/组合立绘/猫娘组.png,13_图09_中世纪修院：冬季庇护、誓约与服务债务/组合立绘/人类组.png,13_图09_中世纪修院：冬季庇护、誓约与服务债务/单角色立绘,13_图09_中世纪修院：冬季庇护、誓约与服务债务/原始绿幕,PNG 可解码；透明立绘含有效 Alpha,13_图09_中世纪修院：冬季庇护、誓约与服务债务/背景图/第一轮_背景.png,13_图09_中世纪修院：冬季庇护、誓约与服务债务/背景图/第二轮_背景.png
14,图10_萨珊波斯的驿站黄昏：货封、路线判断与长途疲劳,3,2,5,14_图10_萨珊波斯的驿站黄昏：货封、路线判断与长途疲劳/组合立绘/猫娘组.png,14_图10_萨珊波斯的驿站黄昏：货封、路线判断与长途疲劳/组合立绘/人类组.png,14_图10_萨珊波斯的驿站黄昏：货封、路线判断与长途疲劳/单角色立绘,14_图10_萨珊波斯的驿站黄昏：货封、路线判断与长途疲劳/原始绿幕,PNG 可解码；透明立绘含有效 Alpha,14_图10_萨珊波斯的驿站黄昏：货封、路线判断与长途疲劳/背景图/第一轮_背景.png,14_图10_萨珊波斯的驿站黄昏：货封、路线判断与长途疲劳/背景图/第二轮_背景.png
15,图11_阿拔斯时代的商队：夜哨、路线翻译与长途疲劳,3,2,5,15_图11_阿拔斯时代的商队：夜哨、路线翻译与长途疲劳/组合立绘/猫娘组.png,15_图11_阿拔斯时代的商队：夜哨、路线翻译与长途疲劳/组合立绘/人类组.png,15_图11_阿拔斯时代的商队：夜哨、路线翻译与长途疲劳/单角色立绘,15_图11_阿拔斯时代的商队：夜哨、路线翻译与长途疲劳/原始绿幕,PNG 可解码；透明立绘含有效 Alpha,15_图11_阿拔斯时代的商队：夜哨、路线翻译与长途疲劳/背景图/第一轮_背景.png,15_图11_阿拔斯时代的商队：夜哨、路线翻译与长途疲劳/背景图/第二轮_背景.png
16,图12_马里帝国的跨撒哈拉商路：金衡、警讯与水源,3,2,5,16_图12_马里帝国的跨撒哈拉商路：金衡、警讯与水源/组合立绘/猫娘组.png,16_图12_马里帝国的跨撒哈拉商路：金衡、警讯与水源/组合立绘/人类组.png,16_图12_马里帝国的跨撒哈拉商路：金衡、警讯与水源/单角色立绘,16_图12_马里帝国的跨撒哈拉商路：金衡、警讯与水源/原始绿幕,PNG 可解码；透明立绘含有效 Alpha,16_图12_马里帝国的跨撒哈拉商路：金衡、警讯与水源/背景图/第一轮_背景.png,16_图12_马里帝国的跨撒哈拉商路：金衡、警讯与水源/背景图/第二轮_背景.png
17,图13_中世纪行会仓库：夜巡、工资与外来窝群,3,2,5,17_图13_中世纪行会仓库：夜巡、工资与外来窝群/组合立绘/猫娘组.png,17_图13_中世纪行会仓库：夜巡、工资与外来窝群/组合立绘/人类组.png,17_图13_中世纪行会仓库：夜巡、工资与外来窝群/单角色立绘,17_图13_中世纪行会仓库：夜巡、工资与外来窝群/原始绿幕,PNG 可解码；透明立绘含有效 Alpha,17_图13_中世纪行会仓库：夜巡、工资与外来窝群/背景图/第一轮_背景.png,17_图13_中世纪行会仓库：夜巡、工资与外来窝群/背景图/第二轮_背景.png
18,图14_宋代城市青楼：表演劳动、债务与受限离场,3,2,5,18_图14_宋代城市青楼：表演劳动、债务与受限离场/组合立绘/猫娘组.png,18_图14_宋代城市青楼：表演劳动、债务与受限离场/组合立绘/人类组.png,18_图14_宋代城市青楼：表演劳动、债务与受限离场/单角色立绘,18_图14_宋代城市青楼：表演劳动、债务与受限离场/原始绿幕,PNG 可解码；透明立绘含有效 Alpha,18_图14_宋代城市青楼：表演劳动、债务与受限离场/背景图/第一轮_背景.png,18_图14_宋代城市青楼：表演劳动、债务与受限离场/背景图/第二轮_背景.png
19,图15_北宋夜市与屋顶交通：包裹、灯火和外勤,3,1,4,19_图15_北宋夜市与屋顶交通：包裹、灯火和外勤/组合立绘/猫娘组.png,19_图15_北宋夜市与屋顶交通：包裹、灯火和外勤/组合立绘/人类组.png,19_图15_北宋夜市与屋顶交通：包裹、灯火和外勤/单角色立绘,19_图15_北宋夜市与屋顶交通：包裹、灯火和外勤/原始绿幕,PNG 可解码；透明立绘含有效 Alpha,19_图15_北宋夜市与屋顶交通：包裹、灯火和外勤/背景图/第一轮_背景.png,19_图15_北宋夜市与屋顶交通：包裹、灯火和外勤/背景图/第二轮_背景.png
20,图16_蒙古驿路：雪地搜索、呼救与伤员处置,3,1,4,20_图16_蒙古驿路：雪地搜索、呼救与伤员处置/组合立绘/猫娘组.png,20_图16_蒙古驿路：雪地搜索、呼救与伤员处置/组合立绘/人类组.png,20_图16_蒙古驿路：雪地搜索、呼救与伤员处置/单角色立绘,20_图16_蒙古驿路：雪地搜索、呼救与伤员处置/原始绿幕,PNG 可解码；透明立绘含有效 Alpha,20_图16_蒙古驿路：雪地搜索、呼救与伤员处置/背景图/第一轮_背景.png,20_图16_蒙古驿路：雪地搜索、呼救与伤员处置/背景图/第二轮_背景.png
21,图17_黑死病时期的城市照护：分区经验、劳作与怀疑,3,2,5,21_图17_黑死病时期的城市照护：分区经验、劳作与怀疑/组合立绘/猫娘组.png,21_图17_黑死病时期的城市照护：分区经验、劳作与怀疑/组合立绘/人类组.png,21_图17_黑死病时期的城市照护：分区经验、劳作与怀疑/单角色立绘,21_图17_黑死病时期的城市照护：分区经验、劳作与怀疑/原始绿幕,PNG 可解码；透明立绘含有效 Alpha,21_图17_黑死病时期的城市照护：分区经验、劳作与怀疑/背景图/第一轮_背景.png,21_图17_黑死病时期的城市照护：分区经验、劳作与怀疑/背景图/第二轮_背景.png
22,图18_莫卧儿印度洋港口：海运文书、调度与伤口照护,3,2,5,22_图18_莫卧儿印度洋港口：海运文书、调度与伤口照护/组合立绘/猫娘组.png,22_图18_莫卧儿印度洋港口：海运文书、调度与伤口照护/组合立绘/人类组.png,22_图18_莫卧儿印度洋港口：海运文书、调度与伤口照护/单角色立绘,22_图18_莫卧儿印度洋港口：海运文书、调度与伤口照护/原始绿幕,PNG 可解码；透明立绘含有效 Alpha,22_图18_莫卧儿印度洋港口：海运文书、调度与伤口照护/背景图/第一轮_背景.png,22_图18_莫卧儿印度洋港口：海运文书、调度与伤口照护/背景图/第二轮_背景.png
23,图19_大航海时代：海图、索具与晕船,3,2,5,23_图19_大航海时代：海图、索具与晕船/组合立绘/猫娘组.png,23_图19_大航海时代：海图、索具与晕船/组合立绘/人类组.png,23_图19_大航海时代：海图、索具与晕船/单角色立绘,23_图19_大航海时代：海图、索具与晕船/原始绿幕,PNG 可解码；透明立绘含有效 Alpha,23_图19_大航海时代：海图、索具与晕船/背景图/第一轮_背景.png,23_图19_大航海时代：海图、索具与晕船/背景图/第二轮_背景.png
24,图20_十六世纪中美洲的初次接触：翻译、质疑与离开殖民者的选择,3,2,5,24_图20_十六世纪中美洲的初次接触：翻译、质疑与离开殖民者的选择/组合立绘/猫娘组.png,24_图20_十六世纪中美洲的初次接触：翻译、质疑与离开殖民者的选择/组合立绘/人类组.png,24_图20_十六世纪中美洲的初次接触：翻译、质疑与离开殖民者的选择/单角色立绘,24_图20_十六世纪中美洲的初次接触：翻译、质疑与离开殖民者的选择/原始绿幕,PNG 可解码；透明立绘含有效 Alpha,24_图20_十六世纪中美洲的初次接触：翻译、质疑与离开殖民者的选择/背景图/第一轮_背景.png,24_图20_十六世纪中美洲的初次接触：翻译、质疑与离开殖民者的选择/背景图/第二轮_背景.png
25,图21_凡尔赛附近：非束腰礼服、外勤与宫廷观看,3,2,5,25_图21_凡尔赛附近：非束腰礼服、外勤与宫廷观看/组合立绘/猫娘组.png,25_图21_凡尔赛附近：非束腰礼服、外勤与宫廷观看/组合立绘/人类组.png,25_图21_凡尔赛附近：非束腰礼服、外勤与宫廷观看/单角色立绘,25_图21_凡尔赛附近：非束腰礼服、外勤与宫廷观看/原始绿幕,PNG 可解码；透明立绘含有效 Alpha,25_图21_凡尔赛附近：非束腰礼服、外勤与宫廷观看/背景图/第一轮_背景.png,25_图21_凡尔赛附近：非束腰礼服、外勤与宫廷观看/背景图/第二轮_背景.png
26,图22_启蒙时代的巴黎沙龙：独立外勤与被陪同的贵妇,3,2,5,26_图22_启蒙时代的巴黎沙龙：独立外勤与被陪同的贵妇/组合立绘/猫娘组.png,26_图22_启蒙时代的巴黎沙龙：独立外勤与被陪同的贵妇/组合立绘/人类组.png,26_图22_启蒙时代的巴黎沙龙：独立外勤与被陪同的贵妇/单角色立绘,26_图22_启蒙时代的巴黎沙龙：独立外勤与被陪同的贵妇/原始绿幕,PNG 可解码；透明立绘含有效 Alpha,26_图22_启蒙时代的巴黎沙龙：独立外勤与被陪同的贵妇/背景图/第一轮_背景.png,26_图22_启蒙时代的巴黎沙龙：独立外勤与被陪同的贵妇/背景图/第二轮_背景.png
27,图23_清代城市宅院：外勤差事、门禁与被羡慕的行动空间,3,2,5,27_图23_清代城市宅院：外勤差事、门禁与被羡慕的行动空间/组合立绘/猫娘组.png,27_图23_清代城市宅院：外勤差事、门禁与被羡慕的行动空间/组合立绘/人类组.png,27_图23_清代城市宅院：外勤差事、门禁与被羡慕的行动空间/单角色立绘,27_图23_清代城市宅院：外勤差事、门禁与被羡慕的行动空间/原始绿幕,PNG 可解码；透明立绘含有效 Alpha,27_图23_清代城市宅院：外勤差事、门禁与被羡慕的行动空间/背景图/第一轮_背景.png,27_图23_清代城市宅院：外勤差事、门禁与被羡慕的行动空间/背景图/第二轮_背景.png
28,图24_革命时期的市民登记：军功、姓氏与有限资格,3,2,5,28_图24_革命时期的市民登记：军功、姓氏与有限资格/组合立绘/猫娘组.png,28_图24_革命时期的市民登记：军功、姓氏与有限资格/组合立绘/人类组.png,28_图24_革命时期的市民登记：军功、姓氏与有限资格/单角色立绘,28_图24_革命时期的市民登记：军功、姓氏与有限资格/原始绿幕,PNG 可解码；透明立绘含有效 Alpha,28_图24_革命时期的市民登记：军功、姓氏与有限资格/背景图/第一轮_背景.png,28_图24_革命时期的市民登记：军功、姓氏与有限资格/背景图/第二轮_背景.png
29,图25_一八四八年的印刷工场：校字、油墨与街头政治,3,2,5,29_图25_一八四八年的印刷工场：校字、油墨与街头政治/组合立绘/猫娘组.png,29_图25_一八四八年的印刷工场：校字、油墨与街头政治/组合立绘/人类组.png,29_图25_一八四八年的印刷工场：校字、油墨与街头政治/单角色立绘,29_图25_一八四八年的印刷工场：校字、油墨与街头政治/原始绿幕,PNG 可解码；透明立绘含有效 Alpha,29_图25_一八四八年的印刷工场：校字、油墨与街头政治/背景图/第一轮_背景.png,29_图25_一八四八年的印刷工场：校字、油墨与街头政治/背景图/第二轮_背景.png
30,图26_工业工厂：机器危险、固定工时与劳工争执,3,2,5,30_图26_工业工厂：机器危险、固定工时与劳工争执/组合立绘/猫娘组.png,30_图26_工业工厂：机器危险、固定工时与劳工争执/组合立绘/人类组.png,30_图26_工业工厂：机器危险、固定工时与劳工争执/单角色立绘,30_图26_工业工厂：机器危险、固定工时与劳工争执/原始绿幕,PNG 可解码；透明立绘含有效 Alpha,30_图26_工业工厂：机器危险、固定工时与劳工争执/背景图/第一轮_背景.png,30_图26_工业工厂：机器危险、固定工时与劳工争执/背景图/第二轮_背景.png
31,图27_工业战争的混编阵地：警报、指挥与救护,3,2,5,31_图27_工业战争的混编阵地：警报、指挥与救护/组合立绘/猫娘组.png,31_图27_工业战争的混编阵地：警报、指挥与救护/组合立绘/人类组.png,31_图27_工业战争的混编阵地：警报、指挥与救护/单角色立绘,31_图27_工业战争的混编阵地：警报、指挥与救护/原始绿幕,PNG 可解码；透明立绘含有效 Alpha,31_图27_工业战争的混编阵地：警报、指挥与救护/背景图/第一轮_背景.png,31_图27_工业战争的混编阵地：警报、指挥与救护/背景图/第二轮_背景.png
32,图28_近代技术学堂：分段教学、实作与共同受益,3,2,5,32_图28_近代技术学堂：分段教学、实作与共同受益/组合立绘/猫娘组.png,32_图28_近代技术学堂：分段教学、实作与共同受益/组合立绘/人类组.png,32_图28_近代技术学堂：分段教学、实作与共同受益/单角色立绘,32_图28_近代技术学堂：分段教学、实作与共同受益/原始绿幕,PNG 可解码；透明立绘含有效 Alpha,32_图28_近代技术学堂：分段教学、实作与共同受益/背景图/第一轮_背景.png,32_图28_近代技术学堂：分段教学、实作与共同受益/背景图/第二轮_背景.png
33,图29_工业铁路城市：站台警报、电报与现场救护,3,2,5,33_图29_工业铁路城市：站台警报、电报与现场救护/组合立绘/猫娘组.png,33_图29_工业铁路城市：站台警报、电报与现场救护/组合立绘/人类组.png,33_图29_工业铁路城市：站台警报、电报与现场救护/单角色立绘,33_图29_工业铁路城市：站台警报、电报与现场救护/原始绿幕,PNG 可解码；透明立绘含有效 Alpha,33_图29_工业铁路城市：站台警报、电报与现场救护/背景图/第一轮_背景.png,33_图29_工业铁路城市：站台警报、电报与现场救护/背景图/第二轮_背景.png
34,图30_十九世纪都市医院：独立血液链与综合医疗,3,2,5,34_图30_十九世纪都市医院：独立血液链与综合医疗/组合立绘/猫娘组.png,34_图30_十九世纪都市医院：独立血液链与综合医疗/组合立绘/人类组.png,34_图30_十九世纪都市医院：独立血液链与综合医疗/单角色立绘,34_图30_十九世纪都市医院：独立血液链与综合医疗/原始绿幕,PNG 可解码；透明立绘含有效 Alpha,34_图30_十九世纪都市医院：独立血液链与综合医疗/背景图/第一轮_背景.png,34_图30_十九世纪都市医院：独立血液链与综合医疗/背景图/第二轮_背景.png
35,图31_世纪末百货：适体服装、身体边界与商业模仿,3,2,5,35_图31_世纪末百货：适体服装、身体边界与商业模仿/组合立绘/猫娘组.png,35_图31_世纪末百货：适体服装、身体边界与商业模仿/组合立绘/人类组.png,35_图31_世纪末百货：适体服装、身体边界与商业模仿/单角色立绘,35_图31_世纪末百货：适体服装、身体边界与商业模仿/原始绿幕,PNG 可解码；透明立绘含有效 Alpha,35_图31_世纪末百货：适体服装、身体边界与商业模仿/背景图/第一轮_背景.png,35_图31_世纪末百货：适体服装、身体边界与商业模仿/背景图/第二轮_背景.png
36,图32_明治日本的迟来引入：港口登记、测量与争辩,3,2,5,36_图32_明治日本的迟来引入：港口登记、测量与争辩/组合立绘/猫娘组.png,36_图32_明治日本的迟来引入：港口登记、测量与争辩/组合立绘/人类组.png,36_图32_明治日本的迟来引入：港口登记、测量与争辩/单角色立绘,36_图32_明治日本的迟来引入：港口登记、测量与争辩/原始绿幕,PNG 可解码；透明立绘含有效 Alpha,36_图32_明治日本的迟来引入：港口登记、测量与争辩/背景图/第一轮_背景.png,36_图32_明治日本的迟来引入：港口登记、测量与争辩/背景图/第二轮_背景.png
37,图33_一九〇〇年北京危机：同类识别、国家军职与侵略伦理,3,2,5,37_图33_一九〇〇年北京危机：同类识别、国家军职与侵略伦理/组合立绘/猫娘组.png,37_图33_一九〇〇年北京危机：同类识别、国家军职与侵略伦理/组合立绘/人类组.png,37_图33_一九〇〇年北京危机：同类识别、国家军职与侵略伦理/单角色立绘,37_图33_一九〇〇年北京危机：同类识别、国家军职与侵略伦理/原始绿幕,PNG 可解码；透明立绘含有效 Alpha,37_图33_一九〇〇年北京危机：同类识别、国家军职与侵略伦理/背景图/第一轮_背景.png,37_图33_一九〇〇年北京危机：同类识别、国家军职与侵略伦理/背景图/第二轮_背景.png
38,图34_一九〇〇年巴黎万国大展会：观看与反观看,3,2,5,38_图34_一九〇〇年巴黎万国大展会：观看与反观看/组合立绘/猫娘组.png,38_图34_一九〇〇年巴黎万国大展会：观看与反观看/组合立绘/人类组.png,38_图34_一九〇〇年巴黎万国大展会：观看与反观看/单角色立绘,38_图34_一九〇〇年巴黎万国大展会：观看与反观看/原始绿幕,PNG 可解码；透明立绘含有效 Alpha,38_图34_一九〇〇年巴黎万国大展会：观看与反观看/背景图/第一轮_背景.png,38_图34_一九〇〇年巴黎万国大展会：观看与反观看/背景图/第二轮_背景.png
39,图35_混合家庭的城市住宅：分别登记与多尺度生活,3,2,5,39_图35_混合家庭的城市住宅：分别登记与多尺度生活/组合立绘/猫娘组.png,39_图35_混合家庭的城市住宅：分别登记与多尺度生活/组合立绘/人类组.png,39_图35_混合家庭的城市住宅：分别登记与多尺度生活/单角色立绘,39_图35_混合家庭的城市住宅：分别登记与多尺度生活/原始绿幕,PNG 可解码；透明立绘含有效 Alpha,39_图35_混合家庭的城市住宅：分别登记与多尺度生活/背景图/第一轮_背景.png,39_图35_混合家庭的城市住宅：分别登记与多尺度生活/背景图/第二轮_背景.png
40,图36_拜占庭君士坦丁堡港口：货封、呼船与海关怀疑,3,2,5,40_图36_拜占庭君士坦丁堡港口：货封、呼船与海关怀疑/组合立绘/猫娘组.png,40_图36_拜占庭君士坦丁堡港口：货封、呼船与海关怀疑/组合立绘/人类组.png,40_图36_拜占庭君士坦丁堡港口：货封、呼船与海关怀疑/单角色立绘,40_图36_拜占庭君士坦丁堡港口：货封、呼船与海关怀疑/原始绿幕,PNG 可解码；透明立绘含有效 Alpha,40_图36_拜占庭君士坦丁堡港口：货封、呼船与海关怀疑/背景图/第一轮_背景.png,40_图36_拜占庭君士坦丁堡港口：货封、呼船与海关怀疑/背景图/第二轮_背景.png
41,图37_奥斯曼改革时期的港务站：登记、军医与适体制服,3,2,5,41_图37_奥斯曼改革时期的港务站：登记、军医与适体制服/组合立绘/猫娘组.png,41_图37_奥斯曼改革时期的港务站：登记、军医与适体制服/组合立绘/人类组.png,41_图37_奥斯曼改革时期的港务站：登记、军医与适体制服/单角色立绘,41_图37_奥斯曼改革时期的港务站：登记、军医与适体制服/原始绿幕,PNG 可解码；透明立绘含有效 Alpha,41_图37_奥斯曼改革时期的港务站：登记、军医与适体制服/背景图/第一轮_背景.png,41_图37_奥斯曼改革时期的港务站：登记、军医与适体制服/背景图/第二轮_背景.png
