时代文件夹,第五轮文件,宽度,高度,SHA256
"17_图13_中世纪行会仓库：夜巡、工资与外来窝群","背景图/第五轮_背景.png",1536,1024,3f2d24683f866766b1a3cec77657cf5403517aea95798381fab117036d2a334b
"18_图14_宋代城市青楼：表演劳动、债务与受限离场","背景图/第五轮_背景.png",1536,1024,66a1e273bf4418c00ab9e82469be691d046818eea9e7b466d82b240ffd466e76
"19_图15_北宋夜市与屋顶交通：包裹、灯火和外勤","背景图/第五轮_背景.png",1536,1024,6b1e4228d1a4a160900b202a0db7730b39b309b135ff3ee9302738c36d449956
"20_图16_蒙古驿路：雪地搜索、呼救与伤员处置","背景图/第五轮_背景.png",1536,1024,f15dc0cfd1d44ccd0a787036f966adafbeb50c4cba03b6aa37f38ab5e2510da4
"21_图17_黑死病时期的城市照护：分区经验、劳作与怀疑","背景图/第五轮_背景.png",1536,1024,3faf5c23730c1cb72f00fb5f3e45cd948369c4d5dd7445b88308f80210561f2e
"22_图18_莫卧儿印度洋港口：海运文书、调度与伤口照护","背景图/第五轮_背景.png",1536,1024,bcd881c834419004ff8e5502e39b32ad51e77202cae48e6874a77c0026e9628b
"23_图19_大航海时代：海图、索具与晕船","背景图/第五轮_背景.png",1536,1024,ac7d6f75f25e4937ef291e16f348e9b3b027858532a563da17c4cd4bd5825817
"24_图20_十六世纪中美洲的初次接触：翻译、质疑与离开殖民者的选择","背景图/第五轮_背景.png",1536,1024,92f26942dc32f5ba15ef721eee92fd441ae3cda46456c47063522005da72b2cd
"25_图21_凡尔赛附近：非束腰礼服、外勤与宫廷观看","背景图/第五轮_背景.png",1536,1024,54d719bdb5e66831bbcbf9c9b00430c46cea527e092ff2c9300c497b623ed640
"26_图22_启蒙时代的巴黎沙龙：独立外勤与被陪同的贵妇","背景图/第五轮_背景.png",1536,1024,ed2821f3e2fb4d481dd2de6a36ccab3b2f119f2a19afa76da607cd4679a5d991
"27_图23_清代城市宅院：外勤差事、门禁与被羡慕的行动空间","背景图/第五轮_背景.png",1536,1024,f234f3944f37402dabfdc212fbd7fa316cd1bb943178afb07896c2adcf754e40
"28_图24_革命时期的市民登记：军功、姓氏与有限资格","背景图/第五轮_背景.png",1536,1024,f63307c4f941749e5fca37fce114bde97dd1510ed140c539a78f41666eedb504
"29_图25_一八四八年的印刷工场：校字、油墨与街头政治","背景图/第五轮_背景.png",1536,1024,b046e31fcc2ef2161c849c679b178e3b139d4e13f3791ede288e68c1f935c17e
"30_图26_工业工厂：机器危险、固定工时与劳工争执","背景图/第五轮_背景.png",1536,1024,783f5308b55d17ef1ad62fe3392df0d77425f30fbf2127b90b422f0397c62090
"31_图27_工业战争的混编阵地：警报、指挥与救护","背景图/第五轮_背景.png",1536,1024,0a010ff1de72c647d5401688fbfcf9555472758a443f9d4fb98c6bfb63f237cc
"32_图28_近代技术学堂：分段教学、实作与共同受益","背景图/第五轮_背景.png",1536,1024,b22c974eee71319e8128c1c4de5334371bc8fba0c0d93f80f7b3ce7a66f06d83
"33_图29_工业铁路城市：站台警报、电报与现场救护","背景图/第五轮_背景.png",1536,1024,83ff8badfa10262f46822d279ac457f8e6f152f7e0369aa8de525e89a063015e
"34_图30_十九世纪都市医院：独立血液链与综合医疗","背景图/第五轮_背景.png",1536,1024,9e2b7d265dc8b87253ebdf4ace24c5335890feb808987473f9f57128d46c1fd4
"35_图31_世纪末百货：适体服装、身体边界与商业模仿","背景图/第五轮_背景.png",1536,1024,9827932b0a75117384025aa568137784c3321aa9662d238e383181f16849b957
"36_图32_明治日本的迟来引入：港口登记、测量与争辩","背景图/第五轮_背景.png",1536,1024,bf37277bf92f5e7b9ec1ab8294ef63be88a8b6daab6450ccb9b7a0a86d25567c
"37_图33_一九〇〇年北京危机：同类识别、国家军职与侵略伦理","背景图/第五轮_背景.png",1536,1024,1d3ccc6d6bad22d37bb7dd7eba2a9cbfa67db33050ed1acb86810dfc9b717f19
"38_图34_一九〇〇年巴黎万国大展会：观看与反观看","背景图/第五轮_背景.png",1536,1024,dee78307fe627ce803c15b8f562c9fc0b331bb5a25bb998c32335199082a1b34
"39_图35_混合家庭的城市住宅：分别登记与多尺度生活","背景图/第五轮_背景.png",1536,1024,44522d888acb4b06a2da7f0b67584ba4a246b5b953f19dc4fbb88b3ae701806c
"40_图36_拜占庭君士坦丁堡港口：货封、呼船与海关怀疑","背景图/第五轮_背景.png",1536,1024,2b99091873c6a67b644dd1c60245a2f211e1e22c086928a5015fc969870d373d
"41_图37_奥斯曼改革时期的港务站：登记、军医与适体制服","背景图/第五轮_背景.png",1536,1024,7ea664627f93bf64a61ca3033f575cbd82d46bf0b6f45a0f7f141d708b171c05
