时代序号,时代目录,补入文件,来源文件,字节数,SHA256
03,03_卷首图版三_南方水城：水门、长路与工具,03_卷首图版三_南方水城：水门、长路与工具/背景图/第四轮_背景.png,03_卷首图版三 南方水城：水门、长路与工具/第四轮_大型建筑外观/第4轮_背景_01.png,2578093,6853a8c788a0c1197eedf1549557d8f028f7ddb1d547b82a397eb73b7c00acb7
03,03_卷首图版三_南方水城：水门、长路与工具,03_卷首图版三_南方水城：水门、长路与工具/背景图/第四轮_背景_02.png,03_卷首图版三 南方水城：水门、长路与工具/第四轮_大型建筑外观/第4轮_背景_02.png,2829703,54f18e2081bde338685c6a00d54251910cd8cf696076a195ee279734305aedd2
04,04_卷首图版四_威尼斯港：木料、船台与急件,04_卷首图版四_威尼斯港：木料、船台与急件/背景图/第三轮_背景.png,04_卷首图版四 威尼斯港：木料、船台与急件/第三轮_室外大场景/第3轮_背景_01.png,3156951,fe84d13c6c3755821de2d5e427aca7db2dd289cc36a38f3866da9f2da0fcb6f8
04,04_卷首图版四_威尼斯港：木料、船台与急件,04_卷首图版四_威尼斯港：木料、船台与急件/背景图/第三轮_背景_02.png,04_卷首图版四 威尼斯港：木料、船台与急件/第三轮_室外大场景/第3轮_背景_02.png,3017877,8d91a2c4043e94a43783eaf74344a14fa05651cc5f2a9751ca4fc2840aa2bc52
04,04_卷首图版四_威尼斯港：木料、船台与急件,04_卷首图版四_威尼斯港：木料、船台与急件/背景图/第四轮_背景.png,04_卷首图版四 威尼斯港：木料、船台与急件/第四轮_大型建筑外观/第4轮_背景_01.png,2886348,f4b9d77ab7d420d84afd7d06b960f8d4f25b5846e1f49c9040619a35c2136ae3
04,04_卷首图版四_威尼斯港：木料、船台与急件,04_卷首图版四_威尼斯港：木料、船台与急件/背景图/第四轮_背景_02.png,04_卷首图版四 威尼斯港：木料、船台与急件/第四轮_大型建筑外观/第4轮_背景_02.png,2814430,1ee8c1ba161f43a79698b8cd8c3514aed03d135df601b750a6d41b57b01fb458
05,05_图01_公元前六千纪的河岸聚落：夜哨、捕鱼与共同照护,05_图01_公元前六千纪的河岸聚落：夜哨、捕鱼与共同照护/背景图/第三轮_背景.png,05_图01_公元前六千纪的河岸聚落：夜哨、捕鱼与共同照护/第三轮_室外大场景/第3轮_背景_01.png,2972525,c360c877bf2fc8f8c97bb0f803aaf313a53bad9ede7072a4c58d4758de91914e
05,05_图01_公元前六千纪的河岸聚落：夜哨、捕鱼与共同照护,05_图01_公元前六千纪的河岸聚落：夜哨、捕鱼与共同照护/背景图/第三轮_背景_02.png,05_图01_公元前六千纪的河岸聚落：夜哨、捕鱼与共同照护/第三轮_室外大场景/第3轮_背景_02.png,2981997,2504c48142f77eb85a9b7b9847847677baed78db8b92295abe7e9c30d0f7e192
05,05_图01_公元前六千纪的河岸聚落：夜哨、捕鱼与共同照护,05_图01_公元前六千纪的河岸聚落：夜哨、捕鱼与共同照护/背景图/第四轮_背景.png,05_图01_公元前六千纪的河岸聚落：夜哨、捕鱼与共同照护/第四轮_大型建筑外观/第4轮_背景_01.png,3209069,e199818b34b5db7661918a5944c8302d875b6306ff74240943eaba4be557e38f
05,05_图01_公元前六千纪的河岸聚落：夜哨、捕鱼与共同照护,05_图01_公元前六千纪的河岸聚落：夜哨、捕鱼与共同照护/背景图/第四轮_背景_02.png,05_图01_公元前六千纪的河岸聚落：夜哨、捕鱼与共同照护/第四轮_大型建筑外观/第4轮_背景_02.png,2976414,18ddf0e5d6e97648eb19cdaeb4321fb0fcc084f1638fd644b5379c731b390d43
06,06_图02_史前窝群：姐妹分工、共同照护与低位居所,06_图02_史前窝群：姐妹分工、共同照护与低位居所/背景图/第三轮_背景.png,06_图02_史前窝群：姐妹分工、共同照护与低位居所/第三轮_室外大场景/第3轮_背景_01.png,2877439,bcaa85841929ebd8d9bd7fa3e4250bd7e1c2a977e421f2f27ad9e13a2a7c7828
06,06_图02_史前窝群：姐妹分工、共同照护与低位居所,06_图02_史前窝群：姐妹分工、共同照护与低位居所/背景图/第四轮_背景.png,06_图02_史前窝群：姐妹分工、共同照护与低位居所/第四轮_大型建筑外观/第4轮_背景_01.png,3349898,51a48e57628396b35710c1f93551d698311f4d5bdbf6d3f1f981feaf7e30b570
06,06_图02_史前窝群：姐妹分工、共同照护与低位居所,06_图02_史前窝群：姐妹分工、共同照护与低位居所/背景图/第四轮_背景_02.png,06_图02_史前窝群：姐妹分工、共同照护与低位居所/第四轮_大型建筑外观/第4轮_背景_02.png,2749104,5ca86b3658a35b30f5d954e1dee55ef2887bcd507471357078666c5e90dd3437
07,07_图03_两河城邦的兵籍、泥板登记与专业分工,07_图03_两河城邦的兵籍、泥板登记与专业分工/背景图/第三轮_背景.png,07_图03_两河城邦的兵籍、泥板登记与专业分工/第三轮_室外大场景/第3轮_背景_01.png,3080037,508e260594fb1a1098b9603ae886690ba35545c1749d5fd4cbc78d20d6be3bee
07,07_图03_两河城邦的兵籍、泥板登记与专业分工,07_图03_两河城邦的兵籍、泥板登记与专业分工/背景图/第四轮_背景.png,07_图03_两河城邦的兵籍、泥板登记与专业分工/第四轮_大型建筑外观/第4轮_背景_01.png,2778154,ff88a208da809c9faa5b7b1f1ddffaddae5b5530cb6bd9b875ffb0026f20d541
07,07_图03_两河城邦的兵籍、泥板登记与专业分工,07_图03_两河城邦的兵籍、泥板登记与专业分工/背景图/第四轮_背景_02.png,07_图03_两河城邦的兵籍、泥板登记与专业分工/第四轮_大型建筑外观/第4轮_背景_02.png,3253053,158f427c0abc97a76aac2d1e2a503922210c33e8628a4498583bcc56e65451bb
08,08_图04_印度河城市：排水、屋顶通行与多尺度设施,08_图04_印度河城市：排水、屋顶通行与多尺度设施/背景图/第三轮_背景.png,08_图04_印度河城市：排水、屋顶通行与多尺度设施/第三轮_室外大场景/第3轮_背景_01.png,2916764,8dda9056b0f6a1357948f89aa20d8149c624212ee7ee6f071adeb911d2958088
08,08_图04_印度河城市：排水、屋顶通行与多尺度设施,08_图04_印度河城市：排水、屋顶通行与多尺度设施/背景图/第四轮_背景.png,08_图04_印度河城市：排水、屋顶通行与多尺度设施/第四轮_大型建筑外观/第4轮_背景_01.png,2790046,03ffe55d6ce2ff869810a97205fcb396eaa5972a047a0451e1042fa8c0408178
08,08_图04_印度河城市：排水、屋顶通行与多尺度设施,08_图04_印度河城市：排水、屋顶通行与多尺度设施/背景图/第四轮_背景_02.png,08_图04_印度河城市：排水、屋顶通行与多尺度设施/第四轮_大型建筑外观/第4轮_背景_02.png,3002726,da56c36c46e769cd076ffd860e9f24e5ab5d5ee0e63b4107778268d70e1b56ee
09,09_图05_新王国时期的尼罗河神庙粮仓：封印、洪水刻度与王权登记,09_图05_新王国时期的尼罗河神庙粮仓：封印、洪水刻度与王权登记/背景图/第三轮_背景.png,09_图05_新王国时期的尼罗河神庙粮仓：封印、洪水刻度与王权登记/第三轮_室外大场景/第3轮_背景_01.png,2740031,f6be10b5ea70424ccaf65408c7eee7a4fd327fb28bc53e61a4af4a99883ed75f
09,09_图05_新王国时期的尼罗河神庙粮仓：封印、洪水刻度与王权登记,09_图05_新王国时期的尼罗河神庙粮仓：封印、洪水刻度与王权登记/背景图/第四轮_背景.png,09_图05_新王国时期的尼罗河神庙粮仓：封印、洪水刻度与王权登记/第四轮_大型建筑外观/第4轮_背景_01.png,2974804,ff93bc0c771a0da4275937395fc0620a5a2e6d97b7ebd6dcedce849134cd5abb
09,09_图05_新王国时期的尼罗河神庙粮仓：封印、洪水刻度与王权登记,09_图05_新王国时期的尼罗河神庙粮仓：封印、洪水刻度与王权登记/背景图/第四轮_背景_02.png,09_图05_新王国时期的尼罗河神庙粮仓：封印、洪水刻度与王权登记/第四轮_大型建筑外观/第4轮_背景_02.png,2891501,fc2052ecfe55bbcabaf2b0e278833d7b4312c1488fc099c17eae15f5b9f203e5
10,10_图06_古典雅典的柱廊之外：受表彰的勇敢与被拒绝的公民资格,10_图06_古典雅典的柱廊之外：受表彰的勇敢与被拒绝的公民资格/背景图/第三轮_背景.png,10_图06_古典雅典的柱廊之外：受表彰的勇敢与被拒绝的公民资格/第三轮_室外大场景/第3轮_背景_01.png,3221538,3956fe305162d0c08859df93aad8d9f0a5e5f6e931e673bb467edc8b8016d61b
10,10_图06_古典雅典的柱廊之外：受表彰的勇敢与被拒绝的公民资格,10_图06_古典雅典的柱廊之外：受表彰的勇敢与被拒绝的公民资格/背景图/第四轮_背景.png,10_图06_古典雅典的柱廊之外：受表彰的勇敢与被拒绝的公民资格/第四轮_大型建筑外观/第4轮_背景_01.png,2546572,60d70e05f20eb8584801a2da4680d0df8fdc3f7a51d14c05f64192b49d4af107
10,10_图06_古典雅典的柱廊之外：受表彰的勇敢与被拒绝的公民资格,10_图06_古典雅典的柱廊之外：受表彰的勇敢与被拒绝的公民资格/背景图/第四轮_背景_02.png,10_图06_古典雅典的柱廊之外：受表彰的勇敢与被拒绝的公民资格/第四轮_大型建筑外观/第4轮_背景_02.png,2968106,2575914bb8ef74ecbcac72e26bde206637c5c4f6bb142ea76ef146e095c782b0
11,11_图07_罗马家内：解放文书与仍未消失的身份等级,11_图07_罗马家内：解放文书与仍未消失的身份等级/背景图/第三轮_背景.png,11_图07_罗马家内：解放文书与仍未消失的身份等级/第三轮_室外大场景/第3轮_背景_01.png,3314636,a19b41c67dcabe52607d809f6ce49797f3407591667807abf4c6c3aeb0c3594a
11,11_图07_罗马家内：解放文书与仍未消失的身份等级,11_图07_罗马家内：解放文书与仍未消失的身份等级/背景图/第四轮_背景.png,11_图07_罗马家内：解放文书与仍未消失的身份等级/第四轮_大型建筑外观/第4轮_背景_01.png,2699254,7cbab132cf16e9d6f800f49ae85995b94e047c6d7b48f19a4ca0b4a18dfd2edc
11,11_图07_罗马家内：解放文书与仍未消失的身份等级,11_图07_罗马家内：解放文书与仍未消失的身份等级/背景图/第四轮_背景_02.png,11_图07_罗马家内：解放文书与仍未消失的身份等级/第四轮_大型建筑外观/第4轮_背景_02.png,2808036,2e594d82b906448be49df1dcc26264c81687b5e1f49a7537011bf06eddea69af
12,12_图08_汉代边塞：瞭望、军报与烽燧警讯,12_图08_汉代边塞：瞭望、军报与烽燧警讯/背景图/第三轮_背景.png,12_图08_汉代边塞：瞭望、军报与烽燧警讯/第三轮_室外大场景/第3轮_背景_01.png,2734688,d8c4ac38c1dd469951b6e8783f63bbbebc45fb6685959065c61d2586b7e49939
12,12_图08_汉代边塞：瞭望、军报与烽燧警讯,12_图08_汉代边塞：瞭望、军报与烽燧警讯/背景图/第四轮_背景.png,12_图08_汉代边塞：瞭望、军报与烽燧警讯/第四轮_大型建筑外观/第4轮_背景_01.png,2872926,98c60764768819f6d6bb6e36acb7adf0a9a94601a97bf5a6a8a1c6a226c33c35
12,12_图08_汉代边塞：瞭望、军报与烽燧警讯,12_图08_汉代边塞：瞭望、军报与烽燧警讯/背景图/第四轮_背景_02.png,12_图08_汉代边塞：瞭望、军报与烽燧警讯/第四轮_大型建筑外观/第4轮_背景_02.png,2652903,0fa3fcb18bab5fd19e1a198405597e85e73fe9c730f29d796c3282fe336dbae8
13,13_图09_中世纪修院：冬季庇护、誓约与服务债务,13_图09_中世纪修院：冬季庇护、誓约与服务债务/背景图/第三轮_背景.png,13_图09_中世纪修院：冬季庇护、誓约与服务债务/第三轮_室外大场景/第3轮_背景_01.png,3035393,4cb1b68f48b1c2469b7a109926a0cf0ddf54fa7b488b42cea2a41d7da61a9151
13,13_图09_中世纪修院：冬季庇护、誓约与服务债务,13_图09_中世纪修院：冬季庇护、誓约与服务债务/背景图/第四轮_背景.png,13_图09_中世纪修院：冬季庇护、誓约与服务债务/第四轮_大型建筑外观/第4轮_背景_01.png,2414803,2f485184988740f27cf4d98f86714d525e1c8ac28cb289e7b112596d2db59fef
13,13_图09_中世纪修院：冬季庇护、誓约与服务债务,13_图09_中世纪修院：冬季庇护、誓约与服务债务/背景图/第四轮_背景_02.png,13_图09_中世纪修院：冬季庇护、誓约与服务债务/第四轮_大型建筑外观/第4轮_背景_02.png,2911452,ebdb999d2452efee6d4f1df837b9174b214ee76c13d381c1582432d3fd03e49a
14,14_图10_萨珊波斯的驿站黄昏：货封、路线判断与长途疲劳,14_图10_萨珊波斯的驿站黄昏：货封、路线判断与长途疲劳/背景图/第三轮_背景.png,14_图10_萨珊波斯的驿站黄昏：货封、路线判断与长途疲劳/第三轮_室外大场景/第3轮_背景_01.png,2897548,624438a61f24d53d20008dc9d889b905530e2bde88067463fe941c1287f6a8e3
14,14_图10_萨珊波斯的驿站黄昏：货封、路线判断与长途疲劳,14_图10_萨珊波斯的驿站黄昏：货封、路线判断与长途疲劳/背景图/第四轮_背景.png,14_图10_萨珊波斯的驿站黄昏：货封、路线判断与长途疲劳/第四轮_大型建筑外观/第4轮_背景_01.png,2837158,e9afccc2015823b49229ac41bd31c9c532cbd5fc167829bc89b5b606cb70265b
14,14_图10_萨珊波斯的驿站黄昏：货封、路线判断与长途疲劳,14_图10_萨珊波斯的驿站黄昏：货封、路线判断与长途疲劳/背景图/第四轮_背景_02.png,14_图10_萨珊波斯的驿站黄昏：货封、路线判断与长途疲劳/第四轮_大型建筑外观/第4轮_背景_02.png,2817303,cfb8bfc137609268c7c86a01a9bb31570e0c7b70828b9e6b87e44fbc81f08ee2
15,15_图11_阿拔斯时代的商队：夜哨、路线翻译与长途疲劳,15_图11_阿拔斯时代的商队：夜哨、路线翻译与长途疲劳/背景图/第三轮_背景.png,15_图11_阿拔斯时代的商队：夜哨、路线翻译与长途疲劳/第三轮_室外大场景/第3轮_背景_01.png,2557406,5e3882e73c5577c167d85fc7f91842bc71dc9e9e2fdab55ba54605758ee51636
15,15_图11_阿拔斯时代的商队：夜哨、路线翻译与长途疲劳,15_图11_阿拔斯时代的商队：夜哨、路线翻译与长途疲劳/背景图/第四轮_背景.png,15_图11_阿拔斯时代的商队：夜哨、路线翻译与长途疲劳/第四轮_大型建筑外观/第4轮_背景_01.png,3190669,a0263092ed77629bea624c88f0d14e8a1c7c55c49da7a5ca71bda7dc97b8fece
15,15_图11_阿拔斯时代的商队：夜哨、路线翻译与长途疲劳,15_图11_阿拔斯时代的商队：夜哨、路线翻译与长途疲劳/背景图/第四轮_背景_02.png,15_图11_阿拔斯时代的商队：夜哨、路线翻译与长途疲劳/第四轮_大型建筑外观/第4轮_背景_02.png,2969490,ad0f31e83b801fa67c1c903361164d4b93fd4fec81f4c8f9946bfec285654c72
16,16_图12_马里帝国的跨撒哈拉商路：金衡、警讯与水源,16_图12_马里帝国的跨撒哈拉商路：金衡、警讯与水源/背景图/第三轮_背景.png,16_图12_马里帝国的跨撒哈拉商路：金衡、警讯与水源/第三轮_室外大场景/第3轮_背景_01.png,3023796,604801cf55026e31dfd50f4cb89358c2259e8476ff218fb5445f714ad7bdbad3
16,16_图12_马里帝国的跨撒哈拉商路：金衡、警讯与水源,16_图12_马里帝国的跨撒哈拉商路：金衡、警讯与水源/背景图/第四轮_背景.png,16_图12_马里帝国的跨撒哈拉商路：金衡、警讯与水源/第四轮_大型建筑外观/第4轮_背景_01.png,2691822,971028610b75bcdcc68989dbf42d640a30bac27e23b0e610a7127939afd037bc
16,16_图12_马里帝国的跨撒哈拉商路：金衡、警讯与水源,16_图12_马里帝国的跨撒哈拉商路：金衡、警讯与水源/背景图/第四轮_背景_02.png,16_图12_马里帝国的跨撒哈拉商路：金衡、警讯与水源/第四轮_大型建筑外观/第4轮_背景_02.png,2783820,28a435f1859ea2b6ba4e6b32a57898f2b0438a2a73fe7926d66348998fedc7a6
17,17_图13_中世纪行会仓库：夜巡、工资与外来窝群,17_图13_中世纪行会仓库：夜巡、工资与外来窝群/背景图/第三轮_背景.png,17_图13_中世纪行会仓库：夜巡、工资与外来窝群/第三轮_室外大场景/第3轮_背景_01.png,2820435,cb44b59bfcdb513d5cda0e387ca5096f5aea02a561decb2a229aa3ac8733af05
17,17_图13_中世纪行会仓库：夜巡、工资与外来窝群,17_图13_中世纪行会仓库：夜巡、工资与外来窝群/背景图/第四轮_背景.png,17_图13_中世纪行会仓库：夜巡、工资与外来窝群/第四轮_大型建筑外观/第4轮_背景_01.png,2913205,a4aaebc72a11c95492c3262c2ef1f2447082aef5ff1ac57f8d6f3854a658f7e9
17,17_图13_中世纪行会仓库：夜巡、工资与外来窝群,17_图13_中世纪行会仓库：夜巡、工资与外来窝群/背景图/第四轮_背景_02.png,17_图13_中世纪行会仓库：夜巡、工资与外来窝群/第四轮_大型建筑外观/第4轮_背景_02.png,2732051,213e23fa4b8bc3fb18286be4a60e428e1fc869651d33116ffc32c3b77268f731
18,18_图14_宋代城市青楼：表演劳动、债务与受限离场,18_图14_宋代城市青楼：表演劳动、债务与受限离场/背景图/第三轮_背景.png,18_图14_宋代城市青楼：表演劳动、债务与受限离场/第三轮_室外大场景/第3轮_背景_01.png,2864999,7f406435c5d7cf29685bc11a4df2b723a2e91474e12e4858bcdfa664fd74fa81
18,18_图14_宋代城市青楼：表演劳动、债务与受限离场,18_图14_宋代城市青楼：表演劳动、债务与受限离场/背景图/第四轮_背景.png,18_图14_宋代城市青楼：表演劳动、债务与受限离场/第四轮_大型建筑外观/第4轮_背景_01.png,2883314,44ee5f6193be2a04c7b07461e2204ddb8de6888f0a3bd8c521128988ef6549fc
18,18_图14_宋代城市青楼：表演劳动、债务与受限离场,18_图14_宋代城市青楼：表演劳动、债务与受限离场/背景图/第四轮_背景_02.png,18_图14_宋代城市青楼：表演劳动、债务与受限离场/第四轮_大型建筑外观/第4轮_背景_02.png,2604890,a3df189021d210a7711f34b1309033a3b2a353a31c243ca09b228c8854d8f664
19,19_图15_北宋夜市与屋顶交通：包裹、灯火和外勤,19_图15_北宋夜市与屋顶交通：包裹、灯火和外勤/背景图/第三轮_背景.png,19_图15_北宋夜市与屋顶交通：包裹、灯火和外勤/第三轮_室外大场景/第3轮_背景_01.png,3118571,7de6a253d74126f3843233d61e4d81f0e7c12b7e95c3e50a3ae1652cc84b0717
19,19_图15_北宋夜市与屋顶交通：包裹、灯火和外勤,19_图15_北宋夜市与屋顶交通：包裹、灯火和外勤/背景图/第四轮_背景.png,19_图15_北宋夜市与屋顶交通：包裹、灯火和外勤/第四轮_大型建筑外观/第4轮_背景_01.png,2944069,eea50bef113c3508a2ee38f62de6517894de2083fe60fe5e452b12667380ccf5
19,19_图15_北宋夜市与屋顶交通：包裹、灯火和外勤,19_图15_北宋夜市与屋顶交通：包裹、灯火和外勤/背景图/第四轮_背景_02.png,19_图15_北宋夜市与屋顶交通：包裹、灯火和外勤/第四轮_大型建筑外观/第4轮_背景_02.png,3077030,cf108664326e1cd5db4585d4420f74f89b95dc1926700b464c0af19d2ec28740
20,20_图16_蒙古驿路：雪地搜索、呼救与伤员处置,20_图16_蒙古驿路：雪地搜索、呼救与伤员处置/背景图/第三轮_背景.png,20_图16_蒙古驿路：雪地搜索、呼救与伤员处置/第三轮_室外大场景/第3轮_背景_01.png,3105710,51156b96b931bafa70c8e4a0c9695db04e09b554590d5c8a245c641f13c9b38c
20,20_图16_蒙古驿路：雪地搜索、呼救与伤员处置,20_图16_蒙古驿路：雪地搜索、呼救与伤员处置/背景图/第四轮_背景.png,20_图16_蒙古驿路：雪地搜索、呼救与伤员处置/第四轮_大型建筑外观/第4轮_背景_01.png,3132617,8495ec08e7b53bc291dc6b58d81bfa3d35cdac72e40a84a2839ec1993cc62c67
20,20_图16_蒙古驿路：雪地搜索、呼救与伤员处置,20_图16_蒙古驿路：雪地搜索、呼救与伤员处置/背景图/第四轮_背景_02.png,20_图16_蒙古驿路：雪地搜索、呼救与伤员处置/第四轮_大型建筑外观/第4轮_背景_02.png,2584198,c555653b08899d58c232ee45a6314f5da2f60a26a285906abd9d40856bb4027c
21,21_图17_黑死病时期的城市照护：分区经验、劳作与怀疑,21_图17_黑死病时期的城市照护：分区经验、劳作与怀疑/背景图/第三轮_背景.png,21_图17_黑死病时期的城市照护：分区经验、劳作与怀疑/第三轮_室外大场景/第3轮_背景_01.png,2772392,aa65be26a5e98ff7b6009b039f3f23a84a77b3d9f5816be6f1fb30caee1aa9ef
21,21_图17_黑死病时期的城市照护：分区经验、劳作与怀疑,21_图17_黑死病时期的城市照护：分区经验、劳作与怀疑/背景图/第四轮_背景.png,21_图17_黑死病时期的城市照护：分区经验、劳作与怀疑/第四轮_大型建筑外观/第4轮_背景_01.png,2783695,671150da24fdbf75833d1c8b01ebc5490fcdcdfe29824b2a0a644becfaf280d6
21,21_图17_黑死病时期的城市照护：分区经验、劳作与怀疑,21_图17_黑死病时期的城市照护：分区经验、劳作与怀疑/背景图/第四轮_背景_02.png,21_图17_黑死病时期的城市照护：分区经验、劳作与怀疑/第四轮_大型建筑外观/第4轮_背景_02.png,2624070,6cc257cbc9c1f46a95ecd32f8e42d50c8dbacade5fcd86a847257477b29630f7
22,22_图18_莫卧儿印度洋港口：海运文书、调度与伤口照护,22_图18_莫卧儿印度洋港口：海运文书、调度与伤口照护/背景图/第三轮_背景.png,22_图18_莫卧儿印度洋港口：海运文书、调度与伤口照护/第三轮_室外大场景/第3轮_背景_01.png,3147274,1c0e9e3bab824b5472b9afb3632168423e90ea1562637edb8a5186f8d2bfca8c
22,22_图18_莫卧儿印度洋港口：海运文书、调度与伤口照护,22_图18_莫卧儿印度洋港口：海运文书、调度与伤口照护/背景图/第四轮_背景.png,22_图18_莫卧儿印度洋港口：海运文书、调度与伤口照护/第四轮_大型建筑外观/第4轮_背景_01.png,2857964,cd0d50a5e333063d7638c048c8fb972b838e8a2adeeb877d3f5d8c839de4f7f5
22,22_图18_莫卧儿印度洋港口：海运文书、调度与伤口照护,22_图18_莫卧儿印度洋港口：海运文书、调度与伤口照护/背景图/第四轮_背景_02.png,22_图18_莫卧儿印度洋港口：海运文书、调度与伤口照护/第四轮_大型建筑外观/第4轮_背景_02.png,2438271,1703215eae634b4e7ee038e4d1d68dc9b81c034d9f6ad866c0ac40d1bcb49219
23,23_图19_大航海时代：海图、索具与晕船,23_图19_大航海时代：海图、索具与晕船/背景图/第三轮_背景.png,23_图19_大航海时代：海图、索具与晕船/第三轮_室外大场景/第3轮_背景_01.png,2965875,c950a78214518a3acd1d68d40c0dee12fba0c488af38f5611729cf360a3ebbc2
23,23_图19_大航海时代：海图、索具与晕船,23_图19_大航海时代：海图、索具与晕船/背景图/第四轮_背景.png,23_图19_大航海时代：海图、索具与晕船/第四轮_大型建筑外观/第4轮_背景_01.png,2566637,9a70fbcee443a17f6b4b37969d3dc7ab64c3116d78a95e48968d0e0b7dbc9ab7
23,23_图19_大航海时代：海图、索具与晕船,23_图19_大航海时代：海图、索具与晕船/背景图/第四轮_背景_02.png,23_图19_大航海时代：海图、索具与晕船/第四轮_大型建筑外观/第4轮_背景_02.png,2446409,a5dc776734ff62e697b82315e0c195b7d2ffe12629ce3a91c16de3bcd0f211a2
24,24_图20_十六世纪中美洲的初次接触：翻译、质疑与离开殖民者的选择,24_图20_十六世纪中美洲的初次接触：翻译、质疑与离开殖民者的选择/背景图/第三轮_背景.png,24_图20_十六世纪中美洲的初次接触：翻译、质疑与离开殖民者的选择/第三轮_室外大场景/第3轮_背景_01.png,3221718,9b52ef1e34625ecb5fea3bb7eecfc08cde3c6ace0cfd2fde0bab8119bca8e6cb
24,24_图20_十六世纪中美洲的初次接触：翻译、质疑与离开殖民者的选择,24_图20_十六世纪中美洲的初次接触：翻译、质疑与离开殖民者的选择/背景图/第四轮_背景.png,24_图20_十六世纪中美洲的初次接触：翻译、质疑与离开殖民者的选择/第四轮_大型建筑外观/第4轮_背景_01.png,3025580,6585ef3a691c73daf992985db1709c5dae172c1223a320ec0f52f16401e4d2f8
24,24_图20_十六世纪中美洲的初次接触：翻译、质疑与离开殖民者的选择,24_图20_十六世纪中美洲的初次接触：翻译、质疑与离开殖民者的选择/背景图/第四轮_背景_02.png,24_图20_十六世纪中美洲的初次接触：翻译、质疑与离开殖民者的选择/第四轮_大型建筑外观/第4轮_背景_02.png,2705508,fe2b35c82d87e28fc99fdfd18e0b6db83fe04db8dcd350c743d6c0794c6a8ade
25,25_图21_凡尔赛附近：非束腰礼服、外勤与宫廷观看,25_图21_凡尔赛附近：非束腰礼服、外勤与宫廷观看/背景图/第三轮_背景.png,25_图21_凡尔赛附近：非束腰礼服、外勤与宫廷观看/第三轮_室外大场景/第3轮_背景_01.png,2988832,3619de24ec279b8e23a0d423d823b74a40c7152b20c8727442282a1c9d8eaaa5
